Hon Anthony Albanese: Member for Grayndler, New South Wales
Hon Michael Sukkar: Member for Deakin, Victoria
Ms Meryl Swanson: Member for Paterson, New South Wales
Hon Angus Taylor: Member for Hume, New South Wales
Hon Dan Tehan: Member for Wannon, Victoria
Ms Susan Templeman: Member for Macquarie, New South Wales
Hon Matt Thistlethwaite: Member for Kingsford Smith, New South Wales
Mr Phillip Thompson OAM: Member for Herbert, Queensland
Ms Kate Thwaites: Member for Jagajaga, Victoria
Ms Kylea Tink: Member for North Sydney, New South Wales
Ms Maria Vamvakinou: Member for Calwell, Victoria
Mr Bert van Manen: Member for Forde, Queensland
Mr Ross Vasta: Member for Bonner, Queensland
Mr Aaron Violi: Member for Casey, Victoria
Mr Andrew Wallace: Member for Fisher, Queensland
Ms Jenny Ware: Member for Hughes, New South Wales
Ms Elizabeth Watson-Brown: Member for Ryan, Queensland
Hon Tim Watts: Member for Gellibrand, Victoria
Dr Anne Webster: Member for Mallee, Victoria
Hon Anika Wells: Member for Lilley, Queensland
Mr Andrew Wilkie: Member for Clark, Tasmania
Mr Andrew Willcox: Member for Dawson, Queensland
Mr Josh Wilson: Member for Fremantle, Western Australia
Mr Rick Wilson: Member for O'Connor, Western Australia
Mr Keith Wolahan: Member for Menzies, Victoria
Hon Jason Wood: Member for La Trobe, Victoria
Mr Terry Young: Member for Longman, Queensland
Mr Tony Zappia: Member for Makin, South Australia
